iso3,ADMIN0,ADMIN1,centroid_lat,centroid_lon
AFG,Afghanistan,Badakhshan,36.99799275242647,71.11030504673967
AFG,Afghanistan,Badghis,35.07223239463575,62.85446377571392
AFG,Afghanistan,Baghlan,35.63276360121456,69.38189395054853
AFG,Afghanistan,Balkh,36.7882888769503,66.86790623444102
AFG,Afghanistan,Bamyan,34.79079088704917,67.67234316001118
AFG,Afghanistan,Daykundi,34.006480434915964,66.03588438467226
AFG,Afghanistan,Farah,33.00274367712822,61.259863842626864
AFG,Afghanistan,Faryab,35.90072960564506,64.2524398250246
AFG,Afghanistan,Ghazni,32.91680287451055,68.0706755052682
AFG,Afghanistan,Ghor,34.78141055646998,65.46458930152333
AFG,Afghanistan,Hilmand,33.01576119521759,64.98101593217258
AFG,Afghanistan,Hirat,33.753088686654856,61.983041080943465
AFG,Afghanistan,Jawzjan,36.709738997914016,66.15286553861861
AFG,Afghanistan,Kabul,34.49288249787315,69.32650949349932
AFG,Afghanistan,Kandahar,31.757495920215028,65.64569473797347
AFG,Afghanistan,Kapisa,34.93363595253936,69.79832147616273
AFG,Afghanistan,Khost,33.58285681536915,70.03152549752777
AFG,Afghanistan,Kunar,34.99339720719999,71.16559577602709
AFG,Afghanistan,Kunduz,36.46084077819933,68.9928980252889
AFG,Afghanistan,Laghman,34.83444044582734,70.39230623219709
AFG,Afghanistan,Logar,33.91183211838567,68.88385428227788
AFG,Afghanistan,Nangarhar,34.05511448049,70.66496920705417
AFG,Afghanistan,Nimroz,31.362598014481247,62.43067237930784
AFG,Afghanistan,Nuristan,35.743860217619556,71.26258865558928
AFG,Afghanistan,Paktika,32.680350698488056,69.25214739778444
AFG,Afghanistan,Paktya,34.099608427088754,69.65027114933577
AFG,Afghanistan,Panjshir,35.56832501053794,69.93941036757913
AFG,Afghanistan,Parwan,34.89842926160093,69.2308950701165
AFG,Afghanistan,Samangan,36.24109362613013,67.98142679945305
AFG,Afghanistan,Sari Pul,35.51946368267842,66.65482438078166
AFG,Afghanistan,Takhar,36.5934465302368,69.35537498526895
AFG,Afghanistan,Uruzgan,32.920653772191805,66.2516210017179
AFG,Afghanistan,Wardak,34.10077265712784,68.46670667605794
AFG,Afghanistan,Zabul,32.624444546474805,67.06526095972613
AGO,Angola,Bengo,-8.96531584812811,13.881550729162443
AGO,Angola,Benguela,-13.584459044840196,13.789762249524667
AGO,Angola,Bié,-13.469792589111083,17.217455996778693
AGO,Angola,Cabinda,-5.015294099742487,12.473288578501396
AGO,Angola,Cuando Cubango,-17.357807109936072,19.42212725144405
AGO,Angola,Cuanza Norte,-8.890484590359044,14.951868799182192
AGO,Angola,Cuanza Sul,-10.830740784781913,15.043806664829235
AGO,Angola,Cunene,-16.394473643058188,14.24679549806896
AGO,Angola,Huambo,-12.57303715981858,15.759307183060976
AGO,Angola,Huíla,-14.035147861111897,14.558413828655103
AGO,Angola,Luanda,-8.97359986078918,13.335385895001265
AGO,Angola,Lunda Norte,-8.6430323188888,19.489759007491237
AGO,Angola,Lunda Sul,-10.18787637490016,20.65261685580174
AGO,Angola,Malanje,-9.487080931405844,16.965265902352105
AGO,Angola,Moxico,-12.875703478716815,21.046374070942953
AGO,Angola,Namibe,-14.690426946738182,13.12527289605005
AGO,Angola,Uíge,-7.028497732465617,15.46624625582151
AGO,Angola,Zaire,-6.587239847528957,13.574407431032252
ARM,Armenia,Aragatsotn,40.45211842241065,44.170844624529686
ARM,Armenia,Ararat,39.97555282734838,44.78905768055546
ARM,Armenia,Armavir,40.16522202442932,44.005207533619206
ARM,Armenia,Erevan,40.18305006595052,44.545009555321585
ARM,Armenia,Gegharkunik,40.2977428487091,45.356477428478115
ARM,Armenia,Kotayk,40.38485903684921,44.72090211810123
